1	1001
2	1002
3	1003
4	1004
5	1005
6	1006
7	1007
8	1008
9	1009
10	1010
11	1011
12	1012
13	1013
14	1014
15	1015
30	1016
31	1017
32	1018
33	1019
34	1020
35	1021
36	1022
37	1023
38	1024
39	1025
40	1026
41	1027
42	1028
43	1029
44	1030
45	1031
46	1032
47	1033
48	1034
49	1035
50	1036
72	1037
73	1038
74	1039
75	1040
76	1041
77	1042
78	1043
79	1044
80	1045
81	1046
82	1047
83	1048
84	1049
85	1050
86	1051
87	1052
88	1053
89	1054
90	1055
91	1095
92	1096
93	1097
94	1098
95	1099
96	1100
97	1101
98	1102
99	1103
100	1104
101	1105
102	1106
103	1107
104	1108
105	1109
106	1110
107	1111
108	1113
109	1114
110	1115
111	1116
112	1117
113	1118
114	1119
115	1120
116	1122
117	1124
118	1125
119	1126
120	1127
121	1128
122	1129
123	1130
124	1131
125	1132
126	1133
127	1134
128	1135
129	1136
130	1137
131	1138
132	1139
133	1140
